1	(10, 2, 1000)	[1.0, 0.7, 1.0, 1.0, 1.0, 1.0, 0.8029550685469662, 1.0, 0.8235294117647058, 1.0, 3, 0.05305290222167969]
1	(10, 2, 1000)	[1.0, 0.9, 0.42857142857142855, 0.42857142857142855, 0.6, 0.6, 0.9354143466934854, 0.47655011078031234, 0.9473684210526316, 0.5, 2, 0.035158634185791016]
1	(10, 2, 1000)	[1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 0.9354143466934854, 1.0, 0.9473684210526316, 1.0, 1, 0.04017496109008789]
1	(10, 2, 1000)	[0.8888888888888888, 0.8, 0.7142857142857143, 0.8333333333333334, 0.7142857142857143, 0.8333333333333334, 0.8017837257372732, 0.6927803379416283, 0.8421052631578948, 0.7142857142857143, 4, 0.02161431312561035]
1	(10, 2, 1000)	[1.0, 1.0, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 1.0, 0.8463901689708141, 1.0, 0.8571428571428571, 1, 0.03371882438659668]
1	(10, 2, 1000)	[1.0, 0.7, 1.0, 1.0, 0.6666666666666666, 1.0, 0.8029550685469662, 0.8033617310539418, 0.8235294117647058, 0.8, 3, 0.01697516441345215]
1	(10, 2, 1000)	[1.0, 0.9, 1.0, 1.0, 0.5, 0.5714285714285714, 0.9354143466934854, 0.6922186552431729, 0.9473684210526316, 0.6666666666666666, 1, 0.03090381622314453]
1	(10, 2, 1000)	[1.0, 0.9, 1.0, 1.0, 0.7777777777777778, 0.875, 0.9354143466934854, 0.872382584623627, 0.9473684210526316, 0.8750000000000001, 1, 0.026765823364257812]
1	(10, 2, 1000)	[1.0, 0.8, 0.7142857142857143, 0.7142857142857143, 0.5555555555555556, 0.7142857142857143, 0.86991767240168, 0.5984791043650314, 0.888888888888889, 0.6250000000000001, 3, 0.02689981460571289]
1	(10, 2, 1000)	[1.0, 0.8, 0.8333333333333334, 0.8333333333333334, 0.625, 0.8333333333333334, 0.86991767240168, 0.7015521754123343, 0.888888888888889, 0.7142857142857143, 2, 0.027703046798706055]
1	(10, 2, 10000)	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0.03634214401245117]
1	(10, 2, 10000)	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0.028228044509887695]
1	(10, 2, 10000)	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0.05677676200866699]
1	(10, 2, 10000)	[1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 0.9354143466934854, 1.0, 0.9473684210526316, 1.0, 1, 0.03809094429016113]
1	(10, 2, 10000)	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0.04662680625915527]
1	(10, 2, 10000)	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0.054826974868774414]
1	(10, 2, 10000)	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0.040761709213256836]
1	(10, 2, 10000)	[1.0, 0.9, 1.0, 1.0, 0.8333333333333334, 1.0, 0.9354143466934854, 0.9080536347093006, 0.9473684210526316, 0.9090909090909091, 1, 0.04298901557922363]
1	(10, 2, 10000)	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0.04469895362854004]
1	(10, 2, 10000)	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0.032566070556640625]
1	(10, 4, 1000)	[1.0, 0.6, 0.7272727272727273, 0.7272727272727273, 0.4444444444444444, 0.8, 0.6741998624632421, 0.5007972860016844, 0.7499999999999999, 0.5517241379310345, 9, 0.08124899864196777]
1	(10, 4, 1000)	[1.0, 0.8, 0.75, 0.75, 0.6666666666666666, 0.8571428571428571, 0.8304547985373997, 0.6475182677614472, 0.888888888888889, 0.7058823529411765, 6, 0.09155607223510742]
1	(10, 4, 1000)	[1.0, 0.7, 0.8333333333333334, 0.8333333333333334, 0.6666666666666666, 0.9090909090909091, 0.7513428837969107, 0.7066865096598595, 0.8235294117647058, 0.7407407407407408, 6, 0.07545971870422363]
