6.666666666666666297e-01	1.000000000000000000e+00	nan	nan	nan	nan	8.069465847859289553e-01	0.000000000000000000e+00	8.000000000000000444e-01	nan	1.000000000000000000e+00
5.000000000000000000e-01	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	nan	nan	6.904666436885359415e-01	0.000000000000000000e+00	6.666666666666666297e-01	nan	2.000000000000000000e+00
6.666666666666666297e-01	1.000000000000000000e+00	nan	nan	nan	nan	8.069465847859289553e-01	0.000000000000000000e+00	8.000000000000000444e-01	nan	1.000000000000000000e+00
5.000000000000000000e-01	5.000000000000000000e-01	nan	nan	nan	nan	4.767441860465116421e-01	0.000000000000000000e+00	5.000000000000000000e-01	nan	2.000000000000000000e+00
5.000000000000000000e-01	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	nan	nan	6.904666436885359415e-01	0.000000000000000000e+00	6.666666666666666297e-01	nan	2.000000000000000000e+00
3.333333333333333148e-01	5.000000000000000000e-01	0.000000000000000000e+00	0.000000000000000000e+00	nan	nan	3.746537715077526975e-01	0.000000000000000000e+00	4.000000000000000222e-01	nan	3.000000000000000000e+00
5.000000000000000000e-01	5.000000000000000000e-01	nan	nan	nan	nan	4.767441860465116421e-01	0.000000000000000000e+00	5.000000000000000000e-01	nan	2.000000000000000000e+00
5.000000000000000000e-01	1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	nan	nan	6.904666436885359415e-01	0.000000000000000000e+00	6.666666666666666297e-01	nan	2.000000000000000000e+00
5.000000000000000000e-01	5.000000000000000000e-01	nan	nan	nan	nan	4.767441860465116421e-01	0.000000000000000000e+00	5.000000000000000000e-01	nan	2.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	nan	nan	nan	nan	-3.251280443811775667e-02	0.000000000000000000e+00	nan	nan	3.000000000000000000e+00
